
### emit yolov8n w8check
[emit] variant w8check  grid [-127, 127]  window (-1, 3)  form auto
[emit] float  models/yolov8n_cut.onnx  sha256 11b52c2530def3c99bccc4bee39a40683aab8619d4278a334b5f0f78c43fd0a1
[emit] xint8  models/yolov8n_cut_xint8.onnx  sha256 f02e86ba1bf61ff3fdc159e29b15259567e279df06f68c6d9adeb966fe56c885
[check] 63 Convs: stored int8 == clip(rint(w / s8), -127, 127) of the float weight, and choose_pos(-127..127, window -1..3) == choose_pow2_minmse == shipped pos8, on all 63
[check] graph_diff vs shipped: node_delta 0, init mismatches 0, weights changed 0/126 int8 initializers
[check] graph_diff vs shipped + intended rewrite only: empty
[check] grid [-127, 127], multiple of 2**k with k in [0, 4] (form b), <= 255 levels per group: all groups; float identity stored * scale == q * 2**-pos on 63 convs
conv                                                    shape form  grp pos8    pos4     k edge  SQNR8  SQNR4  clip% lvl sh-k  e-k
/model.0/conv/Conv                              (16, 3, 3, 3)    b    1    2       2     0    L  33.93  33.93  0.000  76    7    5
/model.1/conv/Conv                             (32, 16, 3, 3)    b    1    5       5     0       29.86  29.86  0.000  98    7    3
/model.2/cv1/conv/Conv                         (32, 32, 1, 1)    b    1    6       6     0    L  27.92  27.92  0.000  56    5    2
/model.2/m.0/cv1/conv/Conv                     (16, 16, 3, 3)    b    1    5       5     0       30.51  30.51  0.000  97    5    3
/model.2/m.0/cv2/conv/Conv                     (16, 16, 3, 3)    b    1    7       7     0       33.22  33.22  0.000 117    7    5
/model.2/cv2/conv/Conv                         (32, 48, 1, 1)    b    1    7       7     0       32.29  32.29  0.130 122    6    4
/model.3/conv/Conv                             (64, 32, 3, 3)    b    1    8       8     0       34.63  34.63  0.000 181    8    8
/model.4/cv1/conv/Conv                         (64, 64, 1, 1)    b    1    6       6     0       33.20  33.20  0.000 130    6    5
/model.4/m.0/cv1/conv/Conv                     (32, 32, 3, 3)    b    1    7       7     0       33.56  33.56  0.000 153    7    6
/model.4/m.0/cv2/conv/Conv                     (32, 32, 3, 3)    b    1    6       6     0    L  28.29  28.29  0.000  93    7    5
/model.4/m.1/cv1/conv/Conv                     (32, 32, 3, 3)    b    1    8       8     0       32.83  32.83  0.033 177    8    6
/model.4/m.1/cv2/conv/Conv                     (32, 32, 3, 3)    b    1    6       6     0       34.76  34.76  0.000 156    7    6
/model.4/cv2/conv/Conv                        (64, 128, 1, 1)    b    1    7       7     0       33.56  33.56  0.000 134    7    6
/model.5/conv/Conv                            (128, 64, 3, 3)    b    1    8       8     0       30.56  30.56  0.023 215    9    8
/model.6/cv1/conv/Conv                       (128, 128, 1, 1)    b    1    6       6     0       32.05  32.05  0.006 148    7    6
/model.6/m.0/cv1/conv/Conv                     (64, 64, 3, 3)    b    1    6       6     0       26.94  26.94  0.000 110    6    5
/model.6/m.0/cv2/conv/Conv                     (64, 64, 3, 3)    b    1    7       7     0       29.34  29.34  0.000 125    8    6
/model.6/m.1/cv1/conv/Conv                     (64, 64, 3, 3)    b    1    8       8     0       30.80  30.80  0.005 196    8    6
/model.6/m.1/cv2/conv/Conv                     (64, 64, 3, 3)    b    1    6       6     0       28.41  28.41  0.003 120    7    6
/model.6/cv2/conv/Conv                       (128, 256, 1, 1)    b    1    8       8     0       35.78  35.78  0.003 192    8    7
/model.7/conv/Conv                           (256, 128, 3, 3)    b    1    8       8     0       33.54  33.54  0.000 208    8    7
/model.8/cv1/conv/Conv                       (256, 256, 1, 1)    b    1    7       7     0       31.65  31.65  0.014 221    8    7
/model.8/m.0/cv1/conv/Conv                   (128, 128, 3, 3)    b    1    7       7     0       31.47  31.47  0.000 154    6    5
/model.8/m.0/cv2/conv/Conv                   (128, 128, 3, 3)    b    1    7       7     0       26.67  26.67  0.003 153    8    7
/model.8/cv2/conv/Conv                       (256, 384, 1, 1)    b    1    8       8     0       34.43  34.43  0.004 189    7    6
/model.9/cv1/conv/Conv                       (128, 256, 1, 1)    b    1    7       7     0       32.66  32.66  0.003 131    8    8
/model.9/cv2/conv/Conv                       (256, 512, 1, 1)    b    1    8       8     0       27.11  27.11  0.005 189    8    8
/model.12/cv1/conv/Conv                      (128, 384, 1, 1)    b    1    6       6     0       29.65  29.65  0.000 112    6    5
/model.12/m.0/cv1/conv/Conv                    (64, 64, 3, 3)    b    1    8       8     0       34.41  34.41  0.022 220    9    8
